          Media         Errore
      -0.562415              0
      -0.521885      0.0405301
      -0.514871      0.0244288
      -0.490038        0.03025
      -0.492273       0.023538
       -0.46388      0.0342861
      -0.454201      0.0305507
      -0.459394      0.0269624
      -0.450048      0.0255491
       -0.45248      0.0229808
      -0.460228      0.0221841
      -0.460865      0.0202612
      -0.454536       0.019683
       -0.45228      0.0183621
      -0.452687       0.017099
      -0.452126      0.0160045
      -0.456061      0.0155403
      -0.455841      0.0146532
       -0.45377      0.0140143
      -0.448941       0.014145
      -0.446118      0.0137476
      -0.446178      0.0131079
      -0.449774      0.0130311
      -0.439759      0.0159989
      -0.440387      0.0153585
      -0.424681      0.0215506
      -0.423452      0.0207735
      -0.427265      0.0203778
      -0.429467      0.0197854
      -0.427022      0.0192702
      -0.425867      0.0186739
      -0.428344      0.0182498
      -0.429824      0.0177499
      -0.430189      0.0172238
      -0.430809      0.0167359
      -0.419852       0.019611
      -0.422691      0.0192837
      -0.425581      0.0189905
      -0.427791      0.0186288
      -0.430185      0.0183142
      -0.428822      0.0179138
      -0.428127      0.0174959
       -0.42689      0.0171289
      -0.426517      0.0167393
      -0.428561      0.0164901
      -0.429247      0.0161423
      -0.431741      0.0159908
      -0.432008      0.0156564
      -0.431434      0.0153443
      -0.432765       0.015093
      -0.433016      0.0147962
      -0.432369      0.0145234
      -0.431145      0.0142991
      -0.429328       0.014149
      -0.431788      0.0141057
      -0.432653      0.0138784
      -0.432996      0.0136371
      -0.431514      0.0134816
      -0.431542      0.0132512
       -0.43129      0.0130309
      -0.433716      0.0130433
      -0.433172      0.0128427
       -0.43274      0.0126446
      -0.432584      0.0124464
      -0.430905      0.0123679
      -0.431067      0.0121802
      -0.430054      0.0120396
      -0.430181      0.0118619
      -0.431167      0.0117303
      -0.432244      0.0116115
      -0.432243      0.0114468
       -0.43156      0.0113074
       -0.43143      0.0111521
      -0.432199      0.0110272
      -0.431631       0.010894
      -0.431081      0.0107638
      -0.431248      0.0106244
       -0.43185      0.0105045
      -0.431537      0.0103755
      -0.431366      0.0102464
      -0.430899      0.0101298
      -0.430396      0.0100182
      -0.430327     0.00989697
      -0.431138     0.00981196
      -0.431992     0.00973338
      -0.431726      0.0096232
      -0.430051     0.00965828
      -0.429729     0.00955333
      -0.430458     0.00947349
      -0.431018     0.00938435
      -0.430745     0.00928468
      -0.430141     0.00920308
      -0.431545     0.00921129
      -0.431752     0.00911512
      -0.432164     0.00902806
      -0.431584     0.00895232
      -0.431337     0.00886299
      -0.431557     0.00877484
      -0.431781     0.00868863
      -0.432469     0.00862878
