             Mu          Sigma        Energia    Err_Energia           TempPasso Metropolis
            0.5            0.7      -0.242289      0.0146513           0.12            1.9
       0.663983       0.774526      -0.347258      0.0169411           0.12           2.41
       0.648796       0.724152      -0.381595      0.0114706         0.1164           2.31
       0.716576       0.829653      -0.313045      0.0176734       0.112908           2.51
       0.664395       0.584395      -0.392912       0.010006       0.109521           2.31
       0.734233       0.503883      -0.339337      0.0217694       0.106235           0.01
       0.861334       0.607655      -0.419681     0.00795553       0.103048           2.71
       0.834017       0.599515      -0.446295     0.00872308      0.0999566           2.61
       0.742805       0.536254      -0.357775      0.0127675      0.0969579           2.31
       0.649933       0.572945      -0.345153      0.0110284      0.0940492           2.31
       0.730444       0.644062      -0.422892      0.0114183      0.0912277           2.51
       0.751649       0.520299      -0.345874      0.0160193      0.0884909           2.31
       0.713731       0.530681      -0.352152      0.0131115      0.0858362           2.31
       0.714776       0.683422      -0.374533      0.0226205      0.0832611           2.51
       0.785439       0.707024      -0.393943      0.0158917      0.0807633           2.71
       0.889144       0.653998      -0.400932      0.0122971      0.0783404           2.81
       0.814731       0.718503      -0.389748      0.0172878      0.0759901           2.81
       0.796413       0.619529      -0.458101     0.00742267      0.0737104           2.71
       0.890406       0.623199      -0.389681      0.0135447      0.0714991           2.71
       0.808714       0.582251      -0.430902     0.00750879      0.0693542           2.51
       0.864456       0.573848      -0.407132     0.00944718      0.0672735           2.51
       0.919027       0.567288      -0.368203      0.0104928      0.0652553           2.41
       0.801803       0.569192      -0.430809      0.0103546      0.0632977           2.51
       0.789294       0.709681      -0.391656      0.0152406      0.0613987           2.71
       0.871822        0.64135      -0.403393      0.0144117      0.0595568           2.81
       0.871045       0.708014      -0.353536      0.0275855      0.0577701           2.91
       0.875128       0.638075       -0.41955      0.0127433       0.056037           2.81
       0.797419       0.612148      -0.444931     0.00657547      0.0543559           2.51
       0.879509       0.599834      -0.420245     0.00962916      0.0527252           2.51
       0.850968       0.585742      -0.436277      0.0103858      0.0511434           2.61
       0.833575        0.56889      -0.432641      0.0112907      0.0496091           2.51
        0.75434       0.621636      -0.434724     0.00652278      0.0481208           2.61
