             mu          sigma          Media         Errore
              0           0.05        99.6239       0.296773
              0            0.1        25.0122      0.0748023
              0           0.15        11.0645      0.0296908
              0            0.2        6.19898      0.0158012
              0           0.25          3.933     0.00977979
              0            0.3        2.68157     0.00715909
              0           0.35        1.88967     0.00636478
              0            0.4         1.3878     0.00436387
              0           0.45        1.01148     0.00406825
              0            0.5       0.729627     0.00338345
              0           0.55       0.513935     0.00302726
              0            0.6       0.342673      0.0022669
              0           0.65       0.197859     0.00257426
              0            0.7      0.0777683     0.00200211
              0           0.75      -0.021998     0.00184705
              0            0.8      -0.103693     0.00152592
              0           0.85      -0.165434      0.0017752
              0            0.9       -0.21265     0.00149265
              0           0.95      -0.242328     0.00172993
              0              1       -0.25141     0.00209584
              0           1.05      -0.242482     0.00265273
              0            1.1      -0.214091     0.00364836
              0           1.15      -0.154393     0.00506696
           0.05            0.6       0.335233     0.00250923
           0.05           0.65       0.195543     0.00263118
           0.05            0.7      0.0734049     0.00214549
           0.05           0.75     -0.0271444     0.00209178
           0.05            0.8      -0.103101     0.00157152
           0.05           0.85      -0.165248     0.00164086
           0.05            0.9      -0.212345     0.00164949
           0.05           0.95      -0.240176     0.00187769
           0.05              1      -0.253356     0.00187868
           0.05           1.05      -0.237791      0.0034532
           0.05            1.1      -0.206983     0.00331513
           0.05           1.15      -0.141704     0.00549891
            0.1           0.15        7.21965      0.0205893
            0.1           0.45       0.937797     0.00419953
            0.1            0.5       0.687388     0.00341494
            0.1           0.55       0.479597     0.00285404
            0.1            0.6       0.314067     0.00233625
            0.1           0.65       0.179216     0.00238267
            0.1            0.7      0.0653913     0.00213595
            0.1           0.75      -0.036283     0.00188242
            0.1            0.8      -0.109174     0.00171782
            0.1           0.85      -0.174226     0.00177441
            0.1            0.9      -0.214109     0.00166264
            0.1           0.95      -0.239844     0.00219755
            0.1              1      -0.250166     0.00239102
            0.1           1.05      -0.237583     0.00272265
            0.1            1.1      -0.200417      0.0043908
            0.1           1.15      -0.149553     0.00461772
           0.15           0.05        99.6751       0.258502
           0.15            0.3        2.03327      0.0062938
           0.15           0.35        1.53233     0.00518174
           0.15            0.4        1.15331     0.00390368
           0.15           0.45       0.860025      0.0037519
           0.15            0.5        0.62238     0.00320028
           0.15           0.55       0.440439     0.00258053
           0.15            0.6       0.283836     0.00263994
           0.15           0.65       0.150255     0.00216144
           0.15            0.7      0.0445837      0.0020019
           0.15           0.75     -0.0456512     0.00192737
           0.15            0.8      -0.122392     0.00167982
           0.15           0.85      -0.180254     0.00178884
           0.15            0.9      -0.221361     0.00177868
           0.15           0.95      -0.244564     0.00209013
           0.15              1      -0.249792     0.00248079
           0.15           1.05      -0.228096     0.00361657
           0.15            1.1      -0.195071     0.00431187
           0.15           1.15      -0.132638     0.00569507
            0.2           0.05        99.7655       0.280522
            0.2            0.2        2.77837      0.0100271
            0.2            0.3        1.65512     0.00545257
            0.2           0.35         1.2864     0.00429715
            0.2           0.45       0.753656     0.00366409
            0.2            0.5        0.55062     0.00260306
            0.2           0.55       0.376801     0.00270302
            0.2            0.6       0.239806     0.00230227
            0.2           0.65       0.119529     0.00213498
            0.2            0.7       0.019182     0.00202259
            0.2           0.75      -0.068548     0.00181398
            0.2            0.8      -0.137297     0.00168484
            0.2           0.85      -0.188771     0.00165736
            0.2            0.9      -0.227045     0.00182009
            0.2           0.95      -0.250474     0.00209195
            0.2              1      -0.252927     0.00238762
            0.2           1.05      -0.234739      0.0028347
            0.2            1.1      -0.190919     0.00433055
            0.2           1.15      -0.133605     0.00512417
           0.25           0.05        100.148        0.28187
           0.25           0.25        1.67633     0.00613899
           0.25            0.3        1.29987     0.00393483
           0.25            0.4       0.819013     0.00366035
           0.25           0.45       0.624407     0.00324459
           0.25            0.5       0.454024     0.00294731
           0.25           0.55       0.311209      0.0024342
           0.25            0.6       0.189244     0.00237176
           0.25           0.65      0.0787654     0.00194208
           0.25            0.7     -0.0154452     0.00181763
           0.25           0.75     -0.0914416     0.00165039
           0.25            0.8      -0.154978     0.00157436
           0.25           0.85      -0.199829     0.00174026
           0.25            0.9      -0.235591     0.00166549
           0.25           0.95      -0.251511      0.0022451
           0.25              1      -0.247991     0.00261647
           0.25           1.05       -0.22809     0.00337782
           0.25            1.1      -0.185095     0.00450976
           0.25           1.15      -0.116407     0.00536444
            0.3           0.05         99.942       0.275231
            0.3            0.1        24.7721      0.0641491
            0.3            0.2        3.35439      0.0170472
            0.3            0.3        1.04138     0.00473319
            0.3           0.35       0.802626     0.00344615
            0.3            0.4       0.634956     0.00309598
            0.3           0.45       0.485666      0.0025798
            0.3            0.5       0.350769     0.00251824
            0.3           0.55       0.231432     0.00229451
            0.3            0.6       0.120924     0.00217523
            0.3           0.65      0.0298888     0.00180942
            0.3            0.7     -0.0561857     0.00176776
            0.3           0.75      -0.121431     0.00183029
            0.3            0.8      -0.176393     0.00159447
            0.3           0.85      -0.217918     0.00165017
            0.3            0.9      -0.241362     0.00206757
            0.3           0.95      -0.254333     0.00217849
            0.3              1       -0.24096     0.00286599
            0.3           1.05      -0.211847     0.00351846
            0.3            1.1      -0.171357      0.0043407
            0.3           1.15     -0.0870085     0.00588437
           0.35           0.05        99.6771       0.279607
           0.35            0.1        24.7382      0.0736752
           0.35            0.2        4.25466      0.0198782
           0.35           0.25        1.75144      0.0106543
           0.35            0.3       0.917192     0.00442464
           0.35           0.35       0.619538      0.0035924
           0.35            0.4       0.463728     0.00266185
           0.35           0.45       0.345534     0.00260433
           0.35            0.5       0.235941      0.0022758
           0.35           0.55       0.136898     0.00224154
           0.35            0.6      0.0538641     0.00223233
           0.35           0.65     -0.0271995     0.00180046
           0.35            0.7     -0.0994583     0.00174299
           0.35           0.75       -0.15641     0.00150591
           0.35            0.8      -0.198095     0.00148794
           0.35           0.85       -0.23306      0.0016919
           0.35            0.9      -0.254054      0.0019744
           0.35           0.95      -0.254216     0.00279424
           0.35              1      -0.238691     0.00298478
           0.35           1.05      -0.203078     0.00402891
           0.35            1.1      -0.145488     0.00467823
           0.35           1.15     -0.0718552     0.00583551
            0.4           0.05        99.6334       0.263842
            0.4            0.1        24.5893      0.0712229
            0.4            0.2        4.93415      0.0169419
            0.4           0.25        2.11943       0.011488
            0.4            0.3       0.965846     0.00629582
            0.4           0.35       0.510296     0.00392192
            0.4            0.4       0.324735      0.0023547
            0.4           0.45       0.212788      0.0022667
            0.4            0.5       0.123808     0.00201918
            0.4           0.55      0.0483741      0.0017465
            0.4            0.6     -0.0223037     0.00200807
            0.4           0.65     -0.0868696     0.00161609
            0.4            0.7      -0.142743     0.00153233
            0.4           0.75      -0.189181     0.00152783
            0.4            0.8      -0.223551     0.00139585
            0.4           0.85      -0.245823     0.00179492
            0.4            0.9      -0.259377     0.00191342
            0.4           0.95      -0.255746     0.00214874
            0.4              1      -0.225884      0.0037202
            0.4           1.05       -0.18301     0.00410851
            0.4            1.1      -0.119952     0.00556555
            0.4           1.15     -0.0311212     0.00588241
           0.45           0.05         98.999       0.263623
           0.45            0.1        24.4611      0.0697801
           0.45           0.15        10.5943      0.0349324
           0.45           0.25        2.52509      0.0108993
           0.45            0.3        1.11086     0.00717032
           0.45           0.35       0.486096     0.00489023
           0.45            0.4       0.225418     0.00277712
           0.45           0.45       0.100442     0.00202861
           0.45            0.5      0.0178274      0.0018386
           0.45           0.55      -0.042805     0.00181572
           0.45            0.6      -0.100027     0.00163772
           0.45           0.65      -0.146728     0.00169789
           0.45            0.7      -0.190576      0.0014049
           0.45           0.75       -0.22473      0.0016487
           0.45            0.8      -0.249209     0.00182723
           0.45           0.85      -0.266303     0.00199394
           0.45            0.9      -0.265913     0.00234072
           0.45           0.95      -0.250844     0.00268078
           0.45              1      -0.213471      0.0034613
           0.45           1.05      -0.169381     0.00443295
           0.45            1.1     -0.0974643     0.00625833
           0.45           1.15     0.00132423     0.00641408
            0.5           0.05        99.8335       0.253915
            0.5            0.1        24.4301      0.0687043
            0.5           0.15        10.4559       0.034082
            0.5           0.25        2.84382     0.00977863
            0.5            0.3        1.30689     0.00787718
            0.5           0.35       0.519826     0.00487311
            0.5            0.4       0.170608     0.00320572
            0.5           0.45     0.00769575     0.00234132
            0.5            0.5     -0.0773676      0.0015749
            0.5           0.55      -0.132365     0.00144206
            0.5            0.6      -0.173923     0.00160398
            0.5           0.65      -0.211175     0.00155313
            0.5            0.7      -0.241224     0.00145833
            0.5           0.75      -0.260858      0.0014334
            0.5            0.8      -0.274419      0.0016071
            0.5           0.85      -0.273327     0.00218498
            0.5            0.9      -0.271353     0.00258501
            0.5           0.95      -0.243662     0.00328673
            0.5              1       -0.19985     0.00400879
            0.5           1.05       -0.13002     0.00539395
            0.5            1.1     -0.0469185       0.006261
            0.5           1.15      0.0590312     0.00827597
           0.55           0.05        99.3522       0.290951
           0.55            0.1        24.3245      0.0674438
           0.55           0.15        10.4488      0.0307219
           0.55            0.3        1.48855     0.00739951
           0.55           0.35       0.608728     0.00574375
           0.55            0.4       0.159651     0.00362247
